SERVICE,LATITUDE,LONGITUDE,STUCT_HT_T,PERCENT
PCS,43.6658,-79.3783,156,0.29
AWS,43.6658,-79.3158,101,0.19
FCFS38,43.666,-79.3787,159,0.29
AWS,43.6664,-79.4856,150,0.28
RAC,43.6667,-79.4644,122,0.22
RAC,43.6667,-79.4558,123,0.23
AWS,43.6667,-79.405,167,0.31
PCS,43.6667,-79.405,169,0.31
PCS,43.6667,-79.405,171,0.31
RAC,43.6669,-79.4603,123,0.23
AWS,43.6669,-79.4061,170,0.31
AWS,43.6669,-79.3742,134,0.25
WCS,43.667,-79.4063,172.5,0.32
FWA,43.667,-79.4063,173,0.32
FCFS38,43.667,-79.4062,164,0.3
FCFS38,43.667,-79.4062,169,0.31
RAC,43.6672,-79.4839,129,0.24
RAC,43.6672,-79.4839,136,0.25
RAC,43.6672,-79.4839,195,0.36
RAC,43.6672,-79.4836,163,0.3
AWS,43.6672,-79.4464,179,0.33
AWS,43.6672,-79.4456,175,0.32
AWS,43.6672,-79.4011,165,0.3
AWS,43.6672,-79.3906,134.5,0.25
FCFS38,43.6672,-79.3841,157,0.29
FCFS38,43.6673,-79.4457,170,0.31
MBS,43.6674,-79.4468,182,0.33
AWS,43.6674,-79.4468,184,0.34
PCS,43.6674,-79.4468,190,0.35
MBS,43.6674,-79.3728,148,0.27
PCS,43.6674,-79.3728,150,0.28
RAC,43.6675,-79.4836,165.7,0.3
MBS,43.6675,-79.4658,155,0.28
PCS,43.6675,-79.4658,156,0.29
RAC,43.6675,-79.4658,160,0.29
AWS,43.6675,-79.3944,144,0.26
PCS,43.6675,-79.3855,127,0.23
PCS,43.6676,-79.3945,144,0.26
PCS,43.6678,-79.4844,128,0.23
AWS,43.6678,-79.4658,168,0.31
BWA24,43.6678,-79.4008,179,0.33
AWS,43.6678,-79.3962,220,0.4
FCFS38,43.668,-79.4633,135,0.25
AWS,43.668,-79.395,113,0.21
AWS,43.6681,-79.4125,154,0.28
AWS,43.6683,-79.4678,142,0.26
AWS,43.6683,-79.4128,141,0.26
BWA24,43.6683,-79.3997,121,0.22
BWA24,43.6683,-79.39,10,0.02
AWS,43.6683,-79.3806,144.5,0.27
AWS,43.6685,-79.3705,195,0.36
MBS,43.6685,-79.3705,196,0.36
PCS,43.6685,-79.3705,197,0.36
AWS,43.6686,-79.3958,149,0.27
AWS,43.6686,-79.3894,180,0.33
AWS,43.6686,-79.3894,183,0.34
AWS,43.6686,-79.3853,149,0.27
AWS,43.6689,-79.3736,180,0.33
AWS,43.6689,-79.3717,195.6,0.36
AWS,43.6689,-79.3431,116,0.21
AWS,43.6692,-79.4372,149,0.27
AWS,43.6694,-79.3986,168.6,0.31
CELL,43.6694,-79.3883,111,0.2
AWS,43.6694,-79.3406,122,0.22
PCS,43.6694,-79.3406,123,0.23
PCS,43.6694,-79.3406,134,0.25
PCS,43.6695,-79.3012,96,0.18
AWS,43.6695,-79.3012,97,0.18
PCS,43.6695,-79.3012,98,0.18
AWS,43.6697,-79.3897,168,0.31
PCS,43.6697,-79.3883,113,0.21
AWS,43.6697,-79.3792,165,0.3
AWS,43.6697,-79.3742,178.2,0.33
FCFS38,43.6698,-79.3902,167,0.31
AWS,43.6698,-79.3887,120,0.22
RAC,43.67,-79.4617,113,0.21
AWS,43.67,-79.4006,139.2,0.26
PCS,43.67,-79.39,148,0.27
PCS,43.67,-79.39,157,0.29
MBS,43.67,-79.39,159,0.29
AWS,43.67,-79.3889,110,0.2
AWS,43.67,-79.3792,115,0.21
PCS,43.67,-79.2864,91,0.17
AWS,43.6703,-79.4286,135.6,0.25
AWS,43.6703,-79.3878,132,0.24
AWS,43.6703,-79.3839,168,0.31
PCS,43.6703,-79.36,92.5,0.17
AWS,43.6703,-79.2989,93,0.17
AWS,43.6705,-79.3745,176,0.32
PCS,43.6705,-79.3745,178,0.33
AWS,43.6706,-79.4539,155,0.28
AWS,43.6706,-79.4539,155,0.28
AWS,43.6706,-79.3864,202,0.37
AWS,43.6706,-79.3863,127,0.23
CELL,43.6706,-79.3792,146,0.27
AWS,43.6706,-79.2975,105,0.19
AWS,43.6708,-79.4536,157.2,0.29
MBS,43.6708,-79.3866,143,0.26
BRS,43.6708,-79.3866,144,0.26
PCS,43.6708,-79.3866,146,0.27
CELL,43.6708,-79.3842,110,0.2
AWS,43.6708,-79.3827,109,0.2
FWA,43.6709,-79.4538,159,0.29
WCS,43.6709,-79.4538,159.1,0.29
PCS,43.6709,-79.3826,234,0.43
PCS,43.671,-79.3931,121,0.22
PCS,43.671,-79.3839,123,0.23
AWS,43.6711,-79.3808,184,0.34
PCS,43.6711,-79.3807,195,0.36
AWS,43.6711,-79.3797,118,0.22
AWS,43.6711,-79.3797,132,0.24
AWS,43.6711,-79.3714,153,0.28
PCS,43.6713,-79.2935,25,0.05
CELL,43.6714,-79.38,111,0.2
AWS,43.6714,-79.3261,101.2,0.19
AWS,43.6715,-79.3853,111,0.2
MBS,43.6715,-79.3786,197,0.36
AWS,43.6715,-79.3786,199,0.37
AWS,43.6717,-79.395,170,0.31
PCS,43.6717,-79.3946,120,0.22
AWS,43.6717,-79.385,166.7,0.31
BWA24,43.6717,-79.3778,545,1
PCS,43.6718,-79.3779,189,0.35
FCFS38,43.6719,-79.4268,137,0.25
AWS,43.6719,-79.3853,162,0.3
AWS,43.6719,-79.3812,3,0.01
AWS,43.6722,-79.4142,140,0.26
MBS,43.6722,-79.4142,142,0.26
AWS,43.6722,-79.3826,3,0.01
WCS,43.6722,-79.3789,138.5,0.25
FWA,43.6722,-79.3789,139,0.26
AWS,43.6722,-79.3786,144.9,0.27
MBS,43.6724,-79.2878,106,0.19
PCS,43.6724,-79.2878,107,0.2
AWS,43.6725,-79.3544,117.7,0.22
AWS,43.6725,-79.3222,106,0.19
AWS,43.6725,-79.3222,109,0.2
AWS,43.6725,-79.2875,104.3,0.19
AWS,43.6728,-79.4228,151,0.28
AWS,43.6731,-79.4231,153,0.28
AWS,43.6731,-79.4025,152,0.28
AWS,43.6731,-79.3953,147,0.27
PCS,43.6731,-79.3885,139,0.26
CELL,43.6731,-79.3885,139,0.26
MBS,43.6733,-79.4223,153,0.28
BRS,43.6733,-79.4223,155,0.28
PCS,43.6733,-79.4223,158,0.29
AWS,43.6733,-79.402,69,0.13
MBS,43.6733,-79.402,70,0.13
PCS,43.6733,-79.402,71,0.13
AWS,43.6736,-79.4631,136,0.25
AWS,43.6736,-79.4028,144.5,0.27
AWS,43.6739,-79.4942,154.3,0.28
PCS,43.6739,-79.3199,118,0.22
AWS,43.6739,-79.3199,120,0.22
AWS,43.6742,-79.3397,140,0.26
AWS,43.6742,-79.3397,150.3,0.28
RAC,43.6742,-79.3236,99,0.18
FCFS38,43.6743,-79.3395,128,0.23
RAC,43.6744,-79.4125,123,0.23
BWA24,43.6744,-79.3817,110,0.2
AWS,43.6744,-79.3083,113.5,0.21
AWS,43.6746,-79.3086,111,0.2
PCS,43.6746,-79.3086,113,0.21
AWS,43.6747,-79.4311,136.4,0.25
CELL,43.6747,-79.3961,136,0.25
RAC,43.6747,-79.33,115,0.21
RAC,43.6747,-79.3297,106,0.19
AWS,43.6748,-79.3982,183,0.34
PCS,43.6748,-79.3982,186,0.34
PCS,43.6748,-79.3982,195,0.36
AWS,43.675,-79.2783,126,0.23
PCS,43.675,-79.2783,128,0.23
AWS,43.675,-79.2783,132.9,0.24
AWS,43.6753,-79.4331,165,0.3
AWS,43.6753,-79.3883,138.5,0.25
AWS,43.6753,-79.2786,131,0.24
FCFS38,43.6754,-79.3885,148,0.27
AWS,43.6755,-79.4333,160,0.29
MBS,43.6755,-79.4333,162,0.3
PCS,43.6755,-79.4333,167,0.31
BWA24,43.6756,-79.4017,129,0.24
MBS,43.6757,-79.4106,153,0.28
AWS,43.6757,-79.3928,170,0.31
PCS,43.6757,-79.3928,172,0.32
PCS,43.6757,-79.3928,173,0.32
AWS,43.6758,-79.3936,179,0.33
AWS,43.676,-79.4109,133,0.24
AWS,43.6761,-79.4106,150,0.28
AWS,43.6763,-79.3595,135,0.25
PCS,43.6763,-79.3595,136,0.25
PCS,43.6763,-79.3595,137,0.25
FCFS38,43.6764,-79.3595,136,0.25
AWS,43.6764,-79.3594,139,0.26
AWS,43.6772,-79.445,166,0.3
BWA24,43.6772,-79.3889,51,0.09
AWS,43.6772,-79.3606,173.9,0.32
FCFS38,43.6775,-79.4449,162,0.3
AWS,43.6775,-79.4431,157,0.29
AWS,43.6775,-79.4156,164.9,0.3
AWS,43.6778,-79.4458,167,0.31
PCS,43.6778,-79.4458,171,0.31
MBS,43.6778,-79.4458,173,0.32
PCS,43.6778,-79.3498,124,0.23
PCS,43.6778,-79.3298,49,0.09
MBS,43.678,-79.3608,140,0.26
AWS,43.678,-79.3608,144,0.26
AWS,43.6781,-79.3608,176.1,0.32
AWS,43.6783,-79.4961,156,0.29
MBS,43.6783,-79.4961,158,0.29
AWS,43.6783,-79.4961,162,0.3
AWS,43.6783,-79.4817,146,0.27
AWS,43.6783,-79.2989,152,0.28
PCS,43.6784,-79.4819,155,0.28
MBS,43.6784,-79.4819,157,0.29
FCFS38,43.6785,-79.299,146,0.27
AWS,43.6786,-79.2994,140.5,0.26
AWS,43.6789,-79.3447,129,0.24
AWS,43.6789,-79.3447,129,0.24
AWS,43.6792,-79.3426,135,0.25
MBS,43.6792,-79.3426,136,0.25
PCS,43.6792,-79.3426,137,0.25
PCS,43.6792,-79.3426,140,0.26
AWS,43.6794,-79.4347,166.8,0.31
AWS,43.6794,-79.3219,136,0.25
AWS,43.6794,-79.3217,135.5,0.25
FCFS38,43.6796,-79.3217,132,0.24
FCFS38,43.6796,-79.3217,133,0.24
CELL,43.6799,-79.2975,125,0.23
PCS,43.6799,-79.2975,127,0.23
PCS,43.6803,-79.4355,205,0.38
CELL,43.6803,-79.4355,205,0.38
MBS,43.6803,-79.4355,207,0.38
PCS,43.6803,-79.4355,223,0.41
AWS,43.6803,-79.31,143,0.26
PCS,43.6805,-79.3103,141,0.26
AWS,43.6808,-79.4281,176.2,0.32
AWS,43.6808,-79.4281,186,0.34
AWS,43.6811,-79.2834,176,0.32
PCS,43.6811,-79.2834,178,0.33
PCS,43.6811,-79.2834,180,0.33
AWS,43.6814,-79.2831,175.4,0.32
AWS,43.6817,-79.3908,148,0.27
PCS,43.6817,-79.3341,158,0.29
CELL,43.6817,-79.3341,159,0.29
PCS,43.6817,-79.3341,160,0.29
AWS,43.6817,-79.3341,161,0.3
AWS,43.6817,-79.3339,154.2,0.28
PCS,43.6819,-79.4725,148,0.27
CELL,43.6819,-79.4725,149,0.27
AWS,43.6819,-79.4725,150,0.28
AWS,43.6819,-79.4725,151,0.28
AWS,43.6819,-79.3997,161.1,0.3
AWS,43.6819,-79.3917,141,0.26
MBS,43.6819,-79.3917,143,0.26
AWS,43.6819,-79.3342,159,0.29
AWS,43.6822,-79.4717,150,0.28
AWS,43.6822,-79.4183,219,0.4
PCS,43.6822,-79.4183,221,0.41
FCFS38,43.6824,-79.4727,154,0.28
WBS,43.6825,-79.4992,237,0.43
AWS,43.6831,-79.4372,172,0.32
AWS,43.6831,-79.3228,134.7,0.25
RAC,43.6831,-79.3089,145,0.27
AWS,43.6833,-79.3228,124,0.23
PCS,43.6833,-79.3228,142,0.26
MBS,43.6834,-79.3996,162,0.3
AWS,43.6839,-79.4125,218.3,0.4
PCS,43.6842,-79.4533,165,0.3
AWS,43.6842,-79.3839,150.4,0.28
PCS,43.6842,-79.3724,138,0.25
PCS,43.6844,-79.3844,125,0.23
MBS,43.6844,-79.3844,127,0.23
MBS,43.6844,-79.3844,127,0.23
AWS,43.6844,-79.3495,124,0.23
AWS,43.6844,-79.2953,148.6,0.27
AWS,43.6845,-79.2993,124,0.23
AWS,43.6847,-79.5128,175.9,0.32
AWS,43.6847,-79.2956,155,0.28
FCFS38,43.6849,-79.4108,183,0.34
CELL,43.685,-79.5131,170,0.31
PCS,43.685,-79.5131,173,0.32
PCS,43.685,-79.5131,176,0.32
AWS,43.6853,-79.4456,163.7,0.3
PCS,43.6854,-79.3145,131,0.24
AWS,43.6856,-79.4917,169.1,0.31
AWS,43.6856,-79.4039,185.5,0.34
AWS,43.6857,-79.4041,185,0.34
PCS,43.6857,-79.4041,187,0.34
AWS,43.6858,-79.3925,163.4,0.3
PCS,43.6861,-79.4014,438,0.8
AWS,43.6861,-79.3931,165,0.3
FCFS38,43.6861,-79.3926,170,0.31
AWS,43.6864,-79.4464,180,0.33
AWS,43.6864,-79.4206,221.8,0.41
AWS,43.6864,-79.4136,212,0.39
AWS,43.6864,-79.375,139,0.26
AWS,43.6864,-79.3744,143.5,0.26
PCS,43.6867,-79.3103,18,0.03
PCS,43.6869,-79.4135,209,0.38
MBS,43.6869,-79.4135,211,0.39
PCS,43.6869,-79.3611,117,0.21
AWS,43.6869,-79.3611,119,0.22
AWS,43.6869,-79.3133,145,0.27
AWS,43.6872,-79.2719,139.9,0.26
BRS,43.6874,-79.272,134,0.25
PCS,43.6874,-79.272,136,0.25
RAC,43.6875,-79.3872,202,0.37
WBS,43.6876,-79.3008,241,0.44
AWS,43.6878,-79.425,181,0.33
AWS,43.6881,-79.3978,198.9,0.36
BWA24,43.6881,-79.3953,152,0.28
AWS,43.6881,-79.3944,232,0.43
BWA24,43.6881,-79.3931,149,0.27
AWS,43.6881,-79.3508,169.6,0.31
WCS,43.6881,-79.3016,188,0.34
PCS,43.6881,-79.3016,208,0.38
PCS,43.6881,-79.3016,210,0.39
AWS,43.6881,-79.3003,253,0.46
AWS,43.6883,-79.5033,184,0.34
AWS,43.6883,-79.3136,151.4,0.28
PCS,43.6884,-79.3935,198,0.36
AWS,43.6884,-79.3935,200,0.37
AWS,43.6885,-79.4124,163,0.3
PCS,43.6889,-79.4911,154,0.28
MBS,43.6889,-79.4911,156,0.29
AWS,43.6889,-79.3544,163,0.3
AWS,43.6889,-79.3544,163,0.3
PCS,43.6889,-79.3544,166,0.3
PCS,43.6891,-79.4358,187,0.34
AWS,43.6891,-79.4358,190,0.35
AWS,43.6894,-79.4919,160,0.29
AWS,43.6894,-79.4131,176.1,0.32
AWS,43.6894,-79.3858,154.8,0.28
AWS,43.6894,-79.3417,148.5,0.27
AWS,43.6894,-79.3242,151.5,0.28
FCFS38,43.6895,-79.386,168,0.31
FCFS38,43.6896,-79.3419,155,0.28
AWS,43.6897,-79.3419,147,0.27
PCS,43.6898,-79.3258,32,0.06
PCS,43.69,-79.4642,198,0.36
BRS,43.69,-79.4642,199,0.37
MBS,43.69,-79.4642,201,0.37
FCFS38,43.69,-79.4353,177,0.32
AWS,43.69,-79.4353,186,0.34
AWS,43.69,-79.4353,187,0.34
FCFS38,43.6901,-79.325,156,0.29
MBS,43.6902,-79.3463,152,0.28
PCS,43.6902,-79.3463,153,0.28
PCS,43.6902,-79.3463,155,0.28
PCS,43.6903,-79.4022,151,0.28
AWS,43.6903,-79.383,170,0.31
PCS,43.6903,-79.383,172,0.32
PCS,43.6903,-79.383,175,0.32
AWS,43.6903,-79.3828,163.3,0.3
CELL,43.6903,-79.325,127,0.23
FCFS38,43.6904,-79.3506,151,0.28
AWS,43.6906,-79.4092,179.8,0.33
AWS,43.6906,-79.4019,217,0.4
AWS,43.6906,-79.3503,157,0.29
AWS,43.6906,-79.3253,161,0.3
BWA24,43.6919,-79.4878,131,0.24
AWS,43.6919,-79.4686,215,0.39
AWS,43.6919,-79.4681,214.5,0.39
AWS,43.6926,-79.3164,133,0.24
PCS,43.6926,-79.3164,135,0.25
PCS,43.6928,-79.3342,20,0.04
CELL,43.6933,-79.4033,312,0.57
AWS,43.6936,-79.2786,157.9,0.29
AWS,43.6936,-79.2747,163,0.3
RAC,43.6942,-79.3492,118,0.22
PCS,43.6942,-79.2778,160,0.29
AWS,43.6942,-79.2778,162,0.3
AWS,43.6944,-79.4231,192.7,0.35
BWA24,43.695,-79.4894,131,0.24
RAC,43.695,-79.3594,85,0.16
AWS,43.695,-79.2906,146.2,0.27
PCS,43.6956,-79.4507,218,0.4
PCS,43.6956,-79.4507,221,0.41
AWS,43.6956,-79.4483,224,0.41
FCFS38,43.6956,-79.3985,199,0.37
FCFS38,43.6956,-79.3985,201,0.37
AWS,43.6956,-79.3983,202,0.37
AWS,43.6956,-79.3972,197,0.36
AWS,43.6958,-79.4486,219,0.4
AWS,43.6958,-79.3028,172,0.32
PCS,43.6964,-79.3941,159,0.29
MBS,43.6964,-79.372,165,0.3
AWS,43.6964,-79.372,167,0.31
AWS,43.6964,-79.3719,163.9,0.3
AWS,43.6964,-79.2747,149.6,0.27
AWS,43.6967,-79.2878,189,0.35
BRS,43.6968,-79.287,185,0.34
PCS,43.6968,-79.287,187,0.34
AWS,43.6969,-79.4031,182.7,0.34
RAC,43.6969,-79.3619,132,0.24
BWA24,43.6972,-79.4608,177,0.32
AWS,43.6975,-79.4247,199,0.37
AWS,43.6975,-79.3717,164,0.3
AWS,43.6976,-79.4245,195,0.36
PCS,43.6976,-79.4245,197,0.36
AWS,43.6978,-79.4764,172.5,0.32
FCFS38,43.6978,-79.3856,177,0.32
AWS,43.6978,-79.3856,178.6,0.33
BRS,43.6979,-79.4997,178,0.33
PCS,43.6979,-79.4997,179,0.33
CELL,43.698,-79.4764,163,0.3
MBS,43.698,-79.4764,165,0.3
MBS,43.6981,-79.5008,173.2,0.32
AWS,43.6981,-79.5008,178,0.33
AWS,43.6983,-79.4889,180,0.33
AWS,43.6983,-79.3869,179,0.33
CELL,43.6983,-79.3867,174,0.32
PCS,43.6983,-79.3867,175,0.32
BRS,43.6983,-79.3867,176,0.32
AWS,43.6983,-79.3114,139,0.26
MBS,43.6986,-79.3919,218.5,0.4
PCS,43.6989,-79.3969,172,0.32
CELL,43.6989,-79.3969,176,0.32
MBS,43.6989,-79.3969,178,0.33
AWS,43.6989,-79.2556,189,0.35
AWS,43.6992,-79.2547,183.7,0.34
CELL,43.6994,-79.277,208,0.38
PCS,43.6994,-79.277,217,0.4
PCS,43.6994,-79.2544,179,0.33
AWS,43.6994,-79.2544,191,0.35
PCS,43.6994,-79.2544,193,0.35
PCS,43.6998,-79.3191,138,0.25
PCS,43.6998,-79.3191,140,0.26
BRS,43.6998,-79.3191,142,0.26
FCFS38,43.7002,-79.2978,160,0.29
AWS,43.7003,-79.2978,161,0.3
AWS,43.7006,-79.3428,194,0.36
PCS,43.7008,-79.4597,253,0.46
BRS,43.7008,-79.4596,214,0.39
CELL,43.7008,-79.4596,216,0.4
